group_id,group_name
1,(ab)Terris
2,3D Printing and Design
3,A Novel Idea
4,AA Stand Up Comedy Club
5,Acacia
6,Actuarial Science Club/Gamma Iota Sigma
7,Adelante Fraternity
8,Admissions Outreach Ambassadors
9,Adventist Christian Fellowship
10,Advertising Club
11,Advocating Science Policy in Research and Education (ASPIRE)
12,Aerospace Engineering Graduate Student Organization
13,African American Studies Society
14,African Students Association
15,AfterDark
16,Ag Systems Technology Club
17,Agricultural and Biosystems Engineering Grad Org
18,Agricultural Business Club
19,Agricultural Communicators of Tomorrow
20,Agricultural Education Club
21,Agricultural Marketing and Management Organization
22,Agriculture & Society (A&S) Club
23,Agronomy Club
24,Agronomy Graduate Student Club
25,AirPad
26,Al Éxito Collegiate
27,Algorithmic Trading Club
28,Alliance for Disability Awareness
29,Alpha Chi Omega
30,Alpha Delta Pi
31,Alpha Epsilon
32,Alpha Gamma Delta
33,Alpha Gamma Rho
34,"Alpha Kappa Alpha Sorority, Incorporated- Eta Tau Chapter"
35,Alpha Kappa Delta
36,Alpha Kappa Lambda
37,Alpha Kappa Psi
38,Alpha Lambda Delta/Phi Eta Sigma
39,Alpha Omega
40,Alpha Omicron Pi
41,Alpha Phi
42,Alpha Phi Omega
43,Alpha Pi Mu
44,Alpha Sigma Kappa:  Women in Technical Studies
45,Alpha Sigma Phi
46,Alpha Tau Omega
47,Alpha Zeta
48,American Assn of Small Ruminant Practitioners
49,American Association of Avian Pathologists Student Chapter
50,American Association of Bovine Practitioners
51,American Association of Equine Practitioners
52,American Association of Feline Practitioners
53,American Association of Swine Veterinarians
54,American Concrete Institute Student Chapter
55,American Institute of Aeronautics and Astronautics
56,American Institute of Architecture Students (AIAS)
57,American Institute of Chemical Engineers
58,American Institute of Steel Construction
59,American Meteorological Society
60,American Sign Language Club
61,American Society of Agricultural and Biological Engineers
62,American Society of Civil Engineers
63,"American Society of Heating, Refrigeration, and Air-Conditioning Engineers Student Chapter"
64,American Society of Mechanical Engineers
65,American Society of Safety Professionals
66,American Veterinary Society of Animal Behavior - Student Chapter
67,Ames Anime Club
68,Ames Area Collegiate Hunting Club
69,Ames Campus Lions Club
70,Ames Collegiate Chess Club
71,Ames Community and Youth Club
72,Ames Flyers
73,Ames Furry Club
74,Ames Student Association for Malaysians
75,"Ames, IA Chapter of the Society for Neuroscience"
76,Anders House (Barton)
77,Anderson House (Willow)
78,Animal Breeding & Genetics Graduate Student Organization
79,Animal Science Judging Club
80,Anthony House  (Friley)
81,Anthropology Club
82,Antique Tractor Club
